Date;Open;High;Low;Close;Adj Close;Volume
03/01/2000;0.984375;0.992188;0.919271;0.975260;0.894608;30091200
04/01/2000;0.958333;0.960938;0.901042;0.949219;0.870721;30048000
05/01/2000;0.921875;0.937500;0.904948;0.917969;0.842055;18835200
06/01/2000;0.917969;0.917969;0.822917;0.858073;0.787112;12048000
07/01/2000;0.854167;0.881510;0.841146;0.872396;0.800251;7118400
10/01/2000;0.875000;0.937500;0.859375;0.901042;0.826528;23985600
11/01/2000;0.895833;0.906250;0.864583;0.864583;0.793084;14812800
12/01/2000;0.864583;0.865885;0.830729;0.842448;0.772779;12355200
13/01/2000;0.841146;0.885417;0.830729;0.877604;0.805028;13219200
14/01/2000;0.890625;0.951823;0.888021;0.915365;0.839666;60456000
18/01/2000;0.927083;0.958333;0.885417;0.954427;0.875498;26164800
19/01/2000;0.958333;0.958333;0.937500;0.945313;0.867137;16468800
20/01/2000;0.953125;1.005.208;0.934896;0.942708;0.864748;17956800
21/01/2000;0.940104;0.944010;0.908854;0.932292;0.855193;54427200
24/01/2000;0.962240;0.962240;0.885417;0.890625;0.816972;25694400
25/01/2000;0.894531;0.903646;0.854167;0.882813;0.809806;23712000
26/01/2000;0.882813;0.906250;0.830729;0.846354;0.776362;23246400
27/01/2000;0.852865;0.852865;0.770833;0.802083;0.735753;45820800
28/01/2000;0.791667;0.796875;0.747396;0.778646;0.714253;19444800
31/01/2000;0.782552;0.799479;0.729167;0.772135;0.708281;18240000
01/02/2000;0.773438;0.796875;0.744792;0.790365;0.725004;9297600
02/02/2000;0.794271;0.828125;0.790365;0.812500;0.745308;14904000
03/02/2000;0.838542;0.855469;0.820313;0.825521;0.757252;10824000
04/02/2000;0.851563;0.851563;0.828125;0.845052;0.775168;12369600
07/02/2000;0.848958;0.848958;0.791667;0.792969;0.727392;21748800
08/02/2000;0.812500;0.859375;0.791667;0.830729;0.762030;46881600
09/02/2000;0.861979;0.876302;0.850260;0.851563;0.781141;58905600
10/02/2000;0.903646;1.041.667;0.903646;1.026.042;0.941191;97008000
11/02/2000;1.076.823;1.078.125;0.966146;1.041.667;0.955523;42379200
14/02/2000;1.044.271;1.208.333;1.033.854;1.208.333;1.108.407;65011200
15/02/2000;1.210.938;1.212.240;1.111.979;1.161.458;1.065.408;45048000
16/02/2000;1.174.479;1.255.208;1.161.458;1.214.844;1.114.379;101956800
17/02/2000;1.213.542;1.265.625;1.195.313;1.257.813;1.153.794;53577600
